Link,Tipo,Valor,Publico,Nome
https://www.terabyteshop.com.br/produto/22670/gabinete-gamer-marvo-ca-119-bk-rgb-mid-tower-vidro-temperado-black-sem-fonte-sem-fan,Gabinete,203,3000,"Gabinete Gamer Marvo CA-119 BK, RGB, Mid Tower, Vidro Temperado, Black, Sem Fonte, Sem Fan"
https://www.terabyteshop.com.br/produto/18648/placa-de-video-biostar-radeon-rx-550-4gb-gddr5-128-bit-va5505rf41?gclid=CjwKCAiAnZCdBhBmEiwA8nDQxVrQeRmgdND9vtKMdiYVqU09W6gqr-glN60jrlSvbfBywO1a2bP4vBoClXoQAvD_BwE,Placa de Video,620,3000,"Placa de Video Biostar, Radeon, RX 550, 4GB GDDR5, 128 Bit"
https://www.amazon.com.br/Biostar-Radeon-RX550-AMD-VA5505RF41-SBHRA-BS2/dp/B09N97Y32C,Placa de Video,590,3000,"Placa de Video Biostar, Radeon, RX 550, 4GB GDDR5, 128 Bit"
https://shopee.com.br/Placa-de-Video-Biostar-Radeon-RX-550-4GB-GDDR5-128-Bit-VA5505RF41-i.698210755.18945637467?xptdk=1a2d2576-e275-4ae9-85ab-8119688c2557,Placa de Video,587,3000,"Placa de Video Biostar, Radeon, RX 550, 4GB GDDR5, 128 Bit"
https://shopee.com.br/Placa-M%C3%A3e-Asus-Prime-A520M-E-Chipset-A520-AMD-AM4-mATX-DDR4-90MB1510-C1BAY0-i.698210755.17773599671,Placa Mãe,622,2000,"Placa Mãe Asus Prime A520M-E, Chipset A520, AMD AM4, mATX, DDR4, 90MB1510-C1BAY0"
https://www.kabum.com.br/produto/129653/placa-mae-asus-prime-a520m-e-amd-am4-matx-ddr4,Placa Mãe,560,2000,"Placa Mãe Asus Prime A520M-E, Chipset A520, AMD AM4, mATX, DDR4, 90MB1510-C1BAY0"
https://www.chipbyte.com.br/amd/placa-mae-asus-prime-a520m-e-amd-am4-90mb1510-c1bay0/2074,Placa Mãe,630,2000,"Placa Mãe Asus Prime A520M-E, Chipset A520, AMD AM4, mATX, DDR4, 90MB1510-C1BAY0"
https://www.pichau.com.br/processador-amd-ryzen-5-4600g-6-core-12-threads-3-7ghz-4-2ghz-turbo-cache-11mb-am4-100-100000147box,Processador,599,2000,"PROCESSADOR AMD RYZEN 5 4600G, 6-CORE, 12-THREADS, 3.7GHZ (4.2GHZ TURBO), CACHE 11MB, AM4, 100-100000147BOX"
https://www.kabum.com.br/produto/333145/processador-amd-ryzen-5-4600g-3-7ghz-4-2ghz-max-turbo-cache-11mb-am4-video-integrado-100-100000147box,Processador,599,2000,"PROCESSADOR AMD RYZEN 5 4600G, 6-CORE, 12-THREADS, 3.7GHZ (4.2GHZ TURBO), CACHE 11MB, AM4, 100-100000147BOX"
https://www.terabyteshop.com.br/produto/21317/processador-amd-ryzen-5-4600g-37ghz-42ghz-turbo-6-cores-12-threads-cooler-wraith-stealth-am4-100-100000147box,Processador,599,2000,"PROCESSADOR AMD RYZEN 5 4600G, 6-CORE, 12-THREADS, 3.7GHZ (4.2GHZ TURBO), CACHE 11MB, AM4, 100-100000147BOX"
https://www.terabyteshop.com.br/produto/19832/kit-memoria-ddr4-geil-evo-potenza-16gb-2x8gb-2666mhz-black-gapb48gb2666c19sc-x-2,Memória,398,2000,"Kit Memória DDR4 Geil Evo Potenza, 16GB (2x8GB) 2666MHz, Black, GAPB48GB2666C19SC X 2"
https://www.terabyteshop.com.br/produto/19209/memoria-ddr4-geil-evo-potenza-16gb-2x8gb-2666mhz-red-gapr48gb2666c19sc-x2,Memória,398,2000,"
Memória DDR4 Geil Evo Potenza, 16GB (2x8GB) 2666MHz, Red, GAPR48GB2666C19SC"
https://www.terabyteshop.com.br/produto/21601/memoria-ddr4-geil-superframe-16gb-2x8gb-3200mhz-gray-sfgaog48gb3200c22bs-x-2,Memória,438,2000,"Memória DDR4 Geil SuperFrame, 16GB (2x8GB), 3200MHz, Gray"
https://www.terabyteshop.com.br/produto/22281/ssd-gamer-ninja-shuriken-240gb-sata-iii-leitura-500mbs-e-gravacao-400mbs-gnshst3240g,SSD,160,2000,"SSD Gamer Ninja Shuriken 240GB, Sata III, Leitura 500MBs E Gravação 400MBs"
https://www.terabyteshop.com.br/produto/7443/ssd-kingston-a400-240gb-sa400s37240g-sata-iii-leitura-500mbs-gravacao-350mbs,SSD,189,2000,"SSD Kingston A400, 240GB, Sata III, Leitura 500MBs Gravação 350MBs"
https://www.terabyteshop.com.br/produto/8695/ssd-sandisk-plus-240gb-sdssda-240g-g26-leitura-530mbs-e-gravacao-440mbs-sata-iii,SSD,190,2000,"SSD Sandisk Plus, 240GB, Sata III, Leitura 530MBs e Gravação 440MBs"
